"kodebarang","nama","stok",
"2.100020GT","BD GT 1000 - 20 TR78A"," 1",
"2.110020.GP","BD GRAND PRIX 1100 X 20","95",
"2.110020GT","BD GT 1100 - 20","42",
"23SWEIBA08","WEIGHT BALANCE TRUCK","57",
"265010JS2BS","BD BS 650 - 10 JS2"," 2",
"2.650/70015JS75GT","BD GT 650/700 - 15 JS75"," 1",
"2.650/700775015JS75BS","BD BS 650/700/750 - 15 JS75"," 3",
"2.700/75016TR177ABS","BD BS 700/750 - 16 TR177A","19",
"270QCA","270 QUICK CHANGE ADAPTOR"," 1",
"271QCA","271 QUICK CHANGE ADAPTOR"," 1",
"2.750-16 GT","BD GT 750-16 "," 3",
"2.750-16.ACH","BAN DALAM 750-16 ACHILLES"," 6",
"2.750/825X16.GP","BD 750/825X16 GP","274",
"2.82520GT","BD GT 825 - 20","15",
"282520TR77ABS","BD BS 825 - 20 TR77A","20",
"2.90020.BT","BD  BESTTONE 900 - 20 TR 78 A"," 1",
"2.90020.GP","BD GRAND PRIX 900 X 20 ","10",
"2.90020GT","BD GT 900 - 20","49",
"2.90020TR175ABS","BD BS 900 - 20 TR175A","33",
"3.15.KXA","FLAP 15 KXA BS","10",
"3.15L.GT","FLAP 15 L GT","29",
"316K.BS","FLAP 16 K BS"," 2",
"3.16L.BS","FLAP 16 L BS","30",
"3.16L.GT","FLAP 16 L GT"," 3",
"3.16R.ACH","FLAP ACHILESS 16R","45",
"3.16R.GP","FLAP 16R EXTRA GP","318",
"3.20.BS","FLAP 20 R BS","36",
"3.20N.BS","FLAP 20 N BS"," 3",
"3.20N.GT","FLAP 20 N GT","20",
"3.20NMZPRIMA","FLAPS 20 N MZ PRIMA ","62",
"3.20R.GT","FLAP 20 R GT"," 1",
"3.20.RL.EXTRAPLAT","FLAP 20 RL GP EXTRA PLAT","132",
"320RL.PERKASA","FLAP 20 R NAYABANA PERKASA","39",
"320RL.SUPER","FLAP 20 RL SUPER","34",
"3.20R.SUPER","FLAP 20 R SUPER"," 2",
"3.20.XL.EXTRAPLAT","FLAP 20 XL GP EXTRA PLAT","105",
"365010","FLAP 650 X 10 BS"," 2",
"3.825.15.BS","FLAP 825 15 BS"," 7",
"6199.MOUNTING PASTA YELLOW 1KG","MOUNTING PASTA YELLOW 1KG"," 1",
"6199.MOUNTING PASTE","MOUNTING PASTE YELLOW 4KG"," 8",
"99.TASPINGGANG","TAS PINGGANG","80",
"BEAD BAZZOKA","BEAD BAZZOKA 12 LTR"," 1",
"CHAMBRE20N","CHAMBRE 20N+ 78 95 VALVE TR78A","115",
"CT-12HD","CT-12 HD 10/BOX","21",
"CT-33","CT-33 (100-125) 10/BOX"," 1",
"CT-35","CT-35 CENTECH RADIAL REPAIR","20",
"DIESELSYSTEM","DIESEL SYSTEM SUPER CLEAN","24",
"FLAP16X600","FLAP 16 FLAP 16 X 6.00 E M L64 MI","116",
"FUELFILTERPAJERO","MITSUBISHI FUEL FILTER PAJERO"," 1",
"KAOS","KAOS","84",
"MOUNTING","MOUNTING PASTA YELLOW 4KG"," 3",
"OIL.SW-40","OIL PROTIVE DIAMONT SW-40","12",
"ONGKOS KIRIM","ONGKOS KIRIM"," 1",
"PAYUNG","PAYUNG GOLF","524",
"PENCILSTONE","PENCIL STONE"," 1",
"REPAIRBAN","REPAIR BAN"," 1",
"SHORTQUICKCHANGEADAPTOR","SHORT QUICK CHANGE ADAPTOR"," 1",
"SYSTEMCARE","OLI SYSTEM CARE","22",
"SYSTEMCLEANER","OIL SYSTEM CLEANER","22",
"TAMBAL","TAMBAL"," 4",
"TAMBALVUL","TAMBAL BAN"," 1",
"TEXTUREBRUSH3INCH","TEXTURE BRUSH 3 INCH (75MM)"," 1",
"UNISEALPLUSWITHWIRE1/16INCH","UNI-SEAL PLUS WITH WIRE 1/16 INCH (1.5MM) 24/BOX"," 1",
"UNISEALSTEMONLY","UNI-SEAL STEM ONLY (6MM) 20/BOX","41",
"UNISEALSTEMONLY8MM","UNI-SEAL STEM ONLY (8MM) 20/BOX","41",
"UNISEALULTRAWITHGUM&WIRE","UNI-SEAL ULTRA W/GUM & WIRE (8MM) 14/BOX"," 1",
"VALVE TBR 1","PENTIL KUNINGAN TRUCK TBE 1/PC","676",
"VELG 9.00 X 22.5 HOLE 8","VELG 9.00 X 22.5 HOLE 8","13",
"VELG60017,5H6","VELG TOPI 600 X 17.5 H6 12MM"," 6",
"VELG90022510.TOPI","VELG TOPI 900 22,5 10HOLE 14 MM","18",
"VELGTOFU825X22.5","VELG TOPI 8.25 X 22.5 H8 14MM","10",
"VELGTOPI82522510","VELG TOPI 8.25 R 22.5 H 10","64",
