"kodebarang","nama","stok",
"1.1756513.ZT2000","BL ZTEEX 175/65 - 13 ZT 2000"," 5",
"1.1756514.ECOPLUSH","BL VD 175/65 - 14 ACCELERA ECO PLUSH"," 2",
"1.1756514.N300","BL VD 175/65 - 14 FORCEUM N 300","50",
"1.1756515.ECOPLUSH","BL VD 175/65 - 15 ACCELERA  ECO PLUSH","12",
"1.1757013.ECOPLUSH","BL VD 175/70 - 13 ACCELERA  ECO PLUSH","55",
"1.1757013.MIL","BL VD 175/70 - 13 FORC EXP 70","55",
"1.1757013.TRIDEKA","BL VD 175/70 - 13 FORC TRIDEKA WLW"," 0",
"1.185148.ACC","BL VD 185 - 14 8 ACCELERA ULTRA 3"," 9",
"1.18514.CT1000.","BL BFG 1000 R 20 16 CROSS","36",
"1.1853517.ACCE","BL VD 185/35 - 17 ACCELERA PHI-R"," 4",
"1.1855016.PHI-R","BL VD 185/50 - 16 ACCELERA PHI-R"," 4",
"1.1855514.ALPHA","BL VD 185/55 - 14 ACCELERA ALPHA"," 0",
"1.1855515.D800","BL VD 185/55 - 15 FORCEUM D800","35",
"1.1855515.PHIR","BL VD 185/55 - 15 ACCELERA PHI-R","22",
"1.1855516.PHIR","BL VD 185/55 - 16 ACCELERA PHI-R"," 6",
"1.1856013.ALPHA","BL VD 185/60 - 13 ACCELERA ALPHA"," 8",
"1.1856014.ACC EPISILON","BL VD 185/60 - 14 ACCELERA EPSILON"," 1",
"1.1856015.ECOPLUS","BL VD 185/60 - 15 ACCELERA  ECO PLUSH","49",
"1.1856514.ECOPLUSH","BL VD 185/65 - 14 ACC ECOPLUSH","20",
"1.1856514.TRIDEKA","BL VD 185/65 - 14 FORC TRIDEKA WLW"," 0",
"1.1856515.ECOPLUS","BL VD 185/65 - 15 ACCELERA  ECO PLUSH","120",
"1.1856515.FORC ECOSA","BL VD 185/65 - 15 FORCEUM ECOSA"," 2",
"1.1857014.ECOPLUS","BL VD 185/70 - 14 ACCELERA  ECO PLUSH","121",
"1.1857014.ECOSA","BL VD 185/70 - 14 FORCEUM ECOSA","30",
"1.1857014.FORCEUM ATZ","BL VD 185/70-14 FORCEUM ATZ-R","11",
"1.1857014.IMP","BL VD 185/70 - 14 IMPERIUM","20",
"1.195148.FORCEUM","BL VD 195 14 - 8 FORC ULTRA","10",
"1.19515.AGILISMI","BL MC 195 R15C TL AGILIS MI","15",
"1.1954017.ACC","BL VD 195/40 - 17 ACCELERA PHI","19",
"1.1954515.PHIR","BL VD 195/45 - 15 ACCELERA PHI-R"," 5",
"1.1954516.PHIR","BL VD 195/45 - 16 ACCELERA PHI-R","28",
"1.1954517.OCTA","BL VD 195/45 - 17 FORCEUM OCTA"," 8",
"1.1955015.651","BL VD 195/50-15 ACC 651  SP TW 200","63",
"1.1955015.651TW100","BL VD 195/50-15 ACC 651SPORT TW100"," 5",
"1.1955015.PHIR","BL VD 195/50 - 15 ACCELERA PHI-R","19",
"1.1955016.651","BL VD 195/50 - 16 ACC 651SPORT","21",
"1.1955016.ACCELE.PHI","BL VD 195/50 - 16 ACCELERA PHI-R","91",
"1.1955016.FORCEUM","BL VD 195/50 - 16 FORCEUM OCTA","13",
"1.1955515.PHI","BL VD 195/55 - 15 ACCELERA PHI-R"," 5",
"1.1955516.PHI","BL VD 195/55 - 16 ACCELERA PHI-R","18",
"1.1956015.ECOPLUS","BL VD 195/60 - 15 ACCELERA ECO PLUSH","12",
"1.1956016.ECOPLUS","BL VD 195/60 - 16 ACCELERA  ECO PLUSH","10",
"1.1956515.ACC.ECO.PLUSH","BL VD 195/65 - 15 ACCELERA ECO PLUSH","25",
"1.1956515.ECOSA","BL VD 195/65-15 FORC ECOSA(WLW)"," 3",
"1.1957014.ECOPLUS","BL VD 195/70 - 14 ACCELERA ECO PLUSH","21",
"1.1957014.FORCEUM ","BL VD 195/70 - 14 FORCEUM EXP 70"," 4",
"1.1957516.ULTRA","BL VD 195/75-16 ACC ULTRA 3"," 8",
"1.195/75R14C106","195/75R14C106/104Q TLXCD2PR8","36",
"1.2053518.ACC","BL VD 205/35 - 18 ACCELERA ALPHA"," 4",
"1.2054017.FORCE.HENA","BL VD 205/40 - 17 FORCEUM HENA"," 2",
"1.2054017.PHIR","BL VD 205/40 - 17 ACCELERA PHI-R"," 8",
"1.2054018.PHI","BL VD 205/40 - 18 ACCELERA PHI -R"," 6",
"1.2054517.ACC6651SPORT","BL VD 205/45 - 17 ACC 651SPORT"," 6",
"1.2054517.OCTA","BL VD 205/45 - 17 FORCEUM OCTA","13",
"1.2054517.PHIR","BL VD 205/45 - 17 ACCELERA PHI-R","95",
"1.2054518.ACC","BL VD 205/45 - 18 ACCELERA PHI"," 8",
"1.2055016.651","BL VD 205/50 - 16 ACC 651SPORT"," 8",
"1.2055016.PHI","BL VD 205/50-16 ACC PHIR"," 8",
"1.2055017.PHI","BL VD 205/50 - 17 ACCELERA PHI","20",
"1.2055515.PHIR","BL VD 205/55-15 ACC PHI-R"," 4",
"1.2055516.ACC.PHI","BL VD 205/55 - 16 ACCELERA PHI","15",
"1.2055516.FORC.D800","BL VD 205/55 - 16 FORCEUM D800"," 4",
"1.2055517.ACC.PHI","BL VD 205/55 - 17  ACCELERA PHI-R"," 4",
"1.2056016.ECC.ECO.PLUSH","BL VD 205/60 - 16 ACCELERA  ECO PLUSH"," 4",
"1.2056515.D650","BL VD 205/65 - 15 FORCEUM D650","25",
"1.2056515.ECO","BL VD 205/65 - 15 ACCELERA ECO PLUSH","50",
"1.2056515.RA162","BL VD 205/65 - 15 ACCELERA RA162"," 8",
"1.2056516.ECOPLUSH","BL VD 205/65 - 16 ACCELERA ECO PLUSH"," 4",
"1.2057015.ECOPLUS","BL VD 205/70 - 15 ACCELERA ECO PLUSH"," 5",
"1.2153518.SIGMA","BL VD 215/35 - 18 ACCELERA SIGMA"," 2",
